,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Target
286851,3/7/2007,22:15:00,5.02,0.3,233.63,22.2,64.0
1446354,16/9/2009,03:18:00,0.226,0.0,242.67,1.0,1.0
1712704,20/3/2010,02:28:00,0.244,0.0,242.78,1.0,0.0
596579,4/2/2008,00:23:00,0.22,0.0,241.49,1.0,0.0
668929,25/3/2008,06:13:00,1.336,0.054,244.85,5.4,19.0
1969077,14/9/2010,03:21:00,0.318,0.208,242.61,1.6,2.0
1781178,6/5/2010,15:42:00,0.508,0.12,236.33,2.2,2.0
1136083,12/2/2009,16:07:00,1.376,0.068,242.6,5.6,18.0
1341067,5/7/2009,00:31:00,1.054,0.124,241.71,4.4,2.0
980636,27/10/2008,17:20:00,0.386,0.206,242.55,1.8,1.0
1283304,25/5/2009,21:48:00,2.906,0.054,233.74,12.4,17.0
840751,22/7/2008,13:55:00,0.504,0.07,238.6,2.4,1.0
32982,8/1/2007,15:06:00,1.636,0.142,243.29,6.8,19.0
131900,18/3/2007,07:44:00,1.738,0.084,243.77,7.0,3.0
334508,6/8/2007,00:32:00,0.392,0.0,236.91,1.8,0.0
319726,26/7/2007,18:10:00,0.378,0.074,235.72,1.8,0.0
1662602,13/2/2010,07:26:00,1.826,0.08,240.28,7.6,18.0
391937,14/9/2007,21:41:00,1.106,0.206,237.31,4.6,3.0
1515479,3/11/2009,03:23:00,0.412,0.256,244.19,2.0,2.0
2020516,19/10/2010,20:40:00,2.25,0.066,240.48,9.4,4.0
1770344,29/4/2010,03:08:00,0.598,0.056,241.65,2.4,0.0
1556098,1/12/2009,08:22:00,2.826,0.102,240.31,11.8,21.0
210162,11/5/2007,16:06:00,0.344,0.0,235.69,1.8,0.0
1244447,28/4/2009,22:11:00,2.032,0.062,243.6,8.4,18.0
274163,25/6/2007,02:47:00,0.26,0.19,240.47,1.2,1.0
515311,9/12/2007,13:55:00,1.712,0.0,243.62,7.0,18.0
46391,17/1/2007,22:35:00,1.616,0.128,241.14,6.6,19.0
827492,13/7/2008,08:56:00,0.56,0.084,241.48,2.4,0.0
97232,22/2/2007,05:56:00,2.518,0.306,239.79,10.4,1.0
715258,26/4/2008,10:22:00,0.606,0.0,240.98,2.4,0.0
365098,27/8/2007,06:22:00,1.234,0.1,239.52,5.0,19.0
750211,20/5/2008,16:55:00,0.16,0.0,242.35,0.6,1.0
1826375,7/6/2010,00:59:00,0.198,0.0,245.46,0.8,1.0
345128,13/8/2007,09:32:00,1.234,0.0,232.14,5.2,17.0
184103,23/4/2007,13:47:00,0.248,0.086,236.52,1.0,0.0
950000,6/10/2008,10:44:00,0.36,0.078,241.18,1.6,1.0
90719,17/2/2007,17:23:00,0.434,0.22,239.73,2.0,1.0
1524892,9/11/2009,16:16:00,0.362,0.16,242.74,1.6,1.0
840101,22/7/2008,03:05:00,0.526,0.0,239.06,2.6,7.0
1345071,7/7/2009,19:15:00,2.006,0.388,239.8,8.4,19.0
111484,4/3/2007,03:28:00,0.322,0.12,241.78,1.4,0.0
11023,24/12/2006,09:07:00,0.352,0.164,244.13,1.6,0.0
598517,5/2/2008,08:41:00,1.452,0.0,243.29,6.0,19.0
1863141,2/7/2010,13:45:00,0.522,0.176,239.11,2.4,1.0
937979,28/9/2008,02:23:00,0.596,0.056,239.88,2.6,0.0
280217,29/6/2007,07:41:00,0.294,0.248,241.35,1.6,1.0
1994867,2/10/2010,01:11:00,1.0,0.416,239.63,4.4,13.0
206091,8/5/2007,20:15:00,1.766,0.128,230.53,7.6,17.0
2040196,2/11/2010,12:40:00,0.368,0.132,246.04,1.6,1.0
1607628,6/1/2010,03:12:00,0.25,0.0,246.83,1.0,1.0
1694475,7/3/2010,10:39:00,0.412,0.216,242.22,1.8,0.0
1673780,21/2/2010,01:44:00,1.45,0.0,241.09,6.0,20.0
90696,17/2/2007,17:00:00,0.3,0.12,240.36,1.4,1.0
1844789,19/6/2010,19:53:00,0.424,0.226,241.35,2.0,2.0
1110046,25/1/2009,14:10:00,3.464,0.362,243.29,14.4,46.0
1795717,16/5/2010,18:01:00,0.478,0.082,244.56,2.0,0.0
1480703,9/10/2009,23:47:00,0.452,0.194,245.27,2.0,2.0
1374782,28/7/2009,10:26:00,0.454,0.256,242.27,2.0,1.0
2010181,12/10/2010,16:25:00,0.298,0.056,242.17,1.4,0.0
479197,14/11/2007,12:01:00,1.444,0.202,238.66,6.0,17.0
1680655,25/2/2010,20:19:00,1.304,0.0,235.61,5.4,0.0
1687611,2/3/2010,16:15:00,0.364,0.126,243.17,1.6,1.0
1647195,2/2/2010,14:39:00,1.556,0.256,247.84,6.2,21.0
1437837,10/9/2009,05:21:00,0.948,0.372,240.65,4.2,12.0
260932,15/6/2007,22:16:00,0.794,0.0,240.56,3.2,2.0
1754098,17/4/2010,20:22:00,0.368,0.068,244.14,1.4,1.0
1304678,9/6/2009,18:02:00,0.308,0.118,241.83,1.4,0.0
1694570,7/3/2010,12:14:00,0.352,0.116,243.69,1.4,1.0
1056215,19/12/2008,04:59:00,0.274,0.0,243.86,1.2,0.0
315070,23/7/2007,12:34:00,0.856,0.454,232.63,4.2,4.0
883668,21/8/2008,09:12:00,0.082,0.0,242.3,0.2,1.0
597505,4/2/2008,15:49:00,0.336,0.108,242.42,1.4,0.0
1251504,3/5/2009,19:48:00,0.616,0.228,240.75,2.6,0.0
577886,22/1/2008,00:50:00,0.324,0.0,243.25,1.4,0.0
1236291,23/4/2009,06:15:00,0.43,0.148,240.13,2.0,1.0
1655535,8/2/2010,09:39:00,2.264,0.074,238.28,9.4,18.0
705391,19/4/2008,13:55:00,5.022,0.094,237.74,21.0,76.0
1055656,18/12/2008,19:40:00,1.888,0.136,242.59,7.8,0.0
782287,11/6/2008,23:31:00,0.198,0.0,244.46,0.8,1.0
1169445,7/3/2009,20:09:00,1.55,0.068,243.19,6.4,18.0
1022192,25/11/2008,13:56:00,0.364,0.13,242.77,1.6,0.0
836993,19/7/2008,23:17:00,1.138,0.06,239.09,4.8,1.0
1738290,6/4/2010,20:54:00,2.602,0.266,238.68,10.8,20.0
757553,25/5/2008,19:17:00,1.11,0.452,239.09,5.0,4.0
2055472,13/11/2010,03:16:00,0.27,0.0,244.6,1.2,0.0
777805,8/6/2008,20:49:00,1.066,0.164,239.68,4.6,2.0
1010497,17/11/2008,11:01:00,1.456,0.176,240.97,6.0,18.0
1675705,22/2/2010,09:49:00,1.33,0.0,240.56,5.4,19.0
1749949,14/4/2010,23:13:00,0.412,0.198,244.2,1.8,1.0
423146,6/10/2007,13:50:00,1.594,0.188,237.31,6.6,19.0
544806,30/12/2007,01:30:00,0.46,0.0,243.6,1.8,0.0
1176421,12/3/2009,16:25:00,1.966,0.19,243.73,8.2,18.0
424766,7/10/2007,16:50:00,4.718,0.0,235.32,20.0,72.0
958534,12/10/2008,08:58:00,0.55,0.058,239.46,2.2,2.0
1724184,28/3/2010,01:48:00,0.4,0.102,242.96,1.6,1.0
827128,13/7/2008,02:52:00,0.16,0.0,241.98,0.8,1.0
1630393,21/1/2010,22:37:00,2.274,0.172,241.01,9.4,21.0
856240,2/8/2008,08:04:00,0.14,0.0,239.65,0.6,0.0
1768185,27/4/2010,15:09:00,0.406,0.122,243.34,1.8,1.0
1849507,23/6/2010,02:31:00,0.156,0.0,240.21,0.6,1.0
1409147,21/8/2009,07:11:00,2.142,0.186,239.84,9.4,18.0
225127,22/5/2007,01:31:00,0.204,0.052,235.51,0.8,0.0
256487,12/6/2007,20:11:00,0.532,0.152,242.45,2.2,0.0
1463547,28/9/2009,01:51:00,0.14,0.0,243.5,0.6,0.0
1100265,18/1/2009,19:09:00,6.606,0.644,235.58,28.2,56.0
2027412,24/10/2010,15:36:00,1.068,0.218,243.32,4.6,12.0
616439,17/2/2008,19:23:00,1.882,0.084,236.81,8.0,1.0
1034567,4/12/2008,04:11:00,0.366,0.076,245.74,1.6,0.0
1578347,16/12/2009,19:11:00,0.892,0.0,245.24,3.6,1.0
1152472,24/2/2009,01:16:00,0.406,0.202,243.81,1.8,2.0
1292383,1/6/2009,05:07:00,0.236,0.126,241.81,1.0,0.0
724482,2/5/2008,20:06:00,3.804,0.264,237.62,16.0,57.0
1974325,17/9/2010,18:49:00,2.224,0.43,238.43,9.8,30.0
1973019,16/9/2010,21:03:00,1.948,0.144,237.73,8.2,3.0
1753196,17/4/2010,05:20:00,0.39,0.11,241.02,1.8,0.0
230788,25/5/2007,23:52:00,0.322,0.106,240.45,1.4,0.0
140889,24/3/2007,13:33:00,1.992,0.186,239.0,8.2,19.0
1818827,1/6/2010,19:11:00,0.348,0.0,241.26,1.4,1.0
1952647,2/9/2010,17:31:00,0.61,0.1,241.91,2.6,1.0
703981,18/4/2008,14:25:00,1.556,0.112,243.07,6.4,19.0
576911,21/1/2008,08:35:00,1.646,0.196,238.93,7.0,17.0
935372,26/9/2008,06:56:00,2.824,0.282,238.05,11.8,25.0
3488,19/12/2006,03:32:00,0.336,0.102,243.16,1.4,0.0
307614,18/7/2007,08:18:00,1.28,0.0,231.47,5.4,17.0
869819,11/8/2008,18:23:00,0.628,0.238,241.12,3.0,7.0
1287557,28/5/2009,20:41:00,0.346,0.07,242.06,1.4,1.0
1547507,25/11/2009,09:11:00,1.388,0.096,240.16,5.8,18.0
631984,28/2/2008,14:28:00,0.32,0.12,243.72,1.4,0.0
463787,3/11/2007,19:11:00,0.196,0.0,237.04,0.8,0.0
123479,12/3/2007,11:23:00,1.956,0.12,237.4,8.4,17.0
850979,29/7/2008,16:23:00,1.124,0.102,239.91,4.8,12.0
1971234,15/9/2010,15:18:00,0.346,0.128,241.36,1.8,1.0
1402725,16/8/2009,20:09:00,1.14,0.47,240.96,5.0,2.0
122155,11/3/2007,13:19:00,4.518,0.326,237.92,19.0,57.0
1497671,21/10/2009,18:35:00,2.152,0.152,243.84,8.8,12.0
1887884,19/7/2010,18:08:00,1.22,0.0,240.26,5.0,19.0
1801575,20/5/2010,19:39:00,0.292,0.0,245.07,1.2,0.0
365232,27/8/2007,08:36:00,1.3,0.106,238.94,5.4,19.0
746498,18/5/2008,03:02:00,0.228,0.114,239.59,1.0,1.0
397466,18/9/2007,17:50:00,1.192,0.0,237.46,5.0,19.0
1251609,3/5/2009,21:33:00,1.926,0.0,239.99,8.0,5.0
1839279,16/6/2010,00:03:00,1.136,0.108,243.6,4.6,0.0
794198,20/6/2008,06:02:00,0.202,0.06,239.42,0.8,1.0
1244823,29/4/2009,04:27:00,0.378,0.066,241.92,1.6,1.0
1954490,4/9/2010,00:14:00,0.56,0.0,246.35,2.2,1.0
2071560,24/11/2010,07:24:00,1.93,0.0,244.72,7.8,18.0
1077057,2/1/2009,16:21:00,1.72,0.08,245.3,7.0,18.0
450683,25/10/2007,16:47:00,0.31,0.114,241.8,1.4,0.0
1840177,16/6/2010,15:01:00,0.466,0.108,241.83,2.0,0.0
986011,31/10/2008,10:55:00,0.542,0.048,242.28,2.4,1.0
362996,25/8/2007,19:20:00,0.572,0.502,239.46,3.2,1.0
2039075,1/11/2010,17:59:00,1.462,0.11,244.25,6.0,19.0
153092,2/4/2007,00:56:00,1.31,0.0,241.86,5.4,18.0
386548,11/9/2007,03:52:00,0.2,0.102,242.75,0.8,2.0
1005852,14/11/2008,05:36:00,0.298,0.0,241.23,1.2,0.0
661884,20/3/2008,08:48:00,1.6,0.06,240.0,6.6,18.0
1114120,28/1/2009,10:04:00,1.658,0.058,240.3,6.8,17.0
1829933,9/6/2010,12:17:00,0.528,0.094,242.28,2.2,0.0
517657,11/12/2007,05:01:00,0.218,0.0,244.75,0.8,0.0
858612,3/8/2008,23:36:00,0.138,0.0,238.15,0.6,0.0
151818,1/4/2007,03:42:00,1.636,0.048,241.66,7.0,17.0
683259,4/4/2008,05:03:00,0.288,0.06,243.01,1.2,0.0
539019,26/12/2007,01:03:00,1.798,0.0,243.29,7.4,0.0
609801,13/2/2008,04:45:00,1.438,0.098,244.59,5.8,18.0
767878,1/6/2008,23:22:00,1.936,0.0,241.21,8.0,18.0
153286,2/4/2007,04:10:00,0.24,0.0,244.94,1.0,0.0
769250,2/6/2008,22:14:00,1.438,0.186,233.65,6.2,1.0
1929046,17/8/2010,08:10:00,1.398,0.084,241.47,5.8,19.0
1337844,2/7/2009,18:48:00,1.028,0.334,242.65,4.4,2.0
969596,20/10/2008,01:20:00,0.246,0.0,241.81,1.0,1.0
1257891,8/5/2009,06:15:00,0.37,0.104,241.25,1.6,1.0
1204536,1/4/2009,05:00:00,0.324,0.112,244.53,1.4,0.0
573363,18/1/2008,21:27:00,1.912,0.328,238.87,8.0,0.0
1061242,22/12/2008,16:46:00,2.064,0.0,244.43,8.4,0.0
81812,11/2/2007,12:56:00,2.56,0.536,241.71,10.8,22.0
17057,28/12/2006,13:41:00,0.754,0.316,243.46,3.4,0.0
1056174,19/12/2008,04:18:00,0.37,0.082,243.77,1.6,0.0
127455,15/3/2007,05:39:00,0.308,0.096,239.0,1.4,0.0
1820941,3/6/2010,06:25:00,0.166,0.0,239.39,0.8,1.0
1339085,3/7/2009,15:29:00,0.292,0.178,240.51,1.4,0.0
257255,13/6/2007,08:59:00,1.166,0.0,239.22,4.8,18.0
1238343,24/4/2009,16:27:00,1.396,0.668,240.59,6.8,5.0
477452,13/11/2007,06:56:00,1.686,0.098,241.01,7.0,0.0
169981,13/4/2007,18:25:00,0.356,0.196,237.76,1.6,1.0
995905,7/11/2008,07:49:00,2.968,0.076,235.94,12.6,18.0
1494506,19/10/2009,13:50:00,0.412,0.224,243.3,1.8,1.0
1702411,12/3/2010,22:55:00,0.524,0.21,242.71,2.2,1.0
1722925,27/3/2010,04:49:00,0.316,0.114,244.81,1.4,1.0
1293091,1/6/2009,16:55:00,1.426,0.076,242.59,5.8,20.0
459806,1/11/2007,00:50:00,0.204,0.0,241.51,0.8,0.0
32944,8/1/2007,14:28:00,1.966,0.216,241.15,8.2,19.0
1967941,13/9/2010,08:25:00,1.382,0.07,237.35,5.8,19.0
1981323,22/9/2010,15:27:00,1.476,0.068,241.76,6.0,18.0
405837,24/9/2007,13:21:00,0.27,0.214,238.28,1.4,1.0
2046792,7/11/2010,02:36:00,0.432,0.186,243.96,1.8,1.0
749803,20/5/2008,10:07:00,0.39,0.0,236.07,2.0,1.0
547775,1/1/2008,02:59:00,2.636,0.0,243.1,10.8,18.0
298519,12/7/2007,00:43:00,0.228,0.118,241.11,1.0,0.0
1195494,25/3/2009,22:18:00,2.46,0.0,240.13,11.0,30.0
593912,2/2/2008,03:56:00,0.232,0.0,245.39,1.0,0.0
1650952,5/2/2010,05:16:00,0.378,0.09,245.48,1.6,1.0
2038291,1/11/2010,04:55:00,0.392,0.15,249.25,1.6,1.0
1962494,9/9/2010,13:38:00,0.358,0.056,239.56,1.6,1.0
2058424,15/11/2010,04:28:00,0.236,0.0,246.65,1.0,0.0
1602364,2/1/2010,11:28:00,0.368,0.09,239.43,1.6,0.0
1402136,16/8/2009,10:20:00,0.224,0.114,240.14,1.0,1.0
972224,21/10/2008,21:08:00,3.02,0.056,241.67,12.6,20.0
151028,31/3/2007,14:32:00,2.034,0.132,241.02,8.4,19.0
292350,7/7/2007,17:54:00,0.664,0.222,241.05,2.8,2.0
1020169,24/11/2008,04:13:00,1.438,0.0,243.36,5.8,2.0
212743,13/5/2007,11:07:00,2.414,0.0,232.22,10.4,36.0
229522,25/5/2007,02:46:00,1.312,0.05,236.01,5.4,19.0
1393677,10/8/2009,13:21:00,0.906,0.19,240.2,3.8,12.0
155311,3/4/2007,13:55:00,0.23,0.0,243.83,1.0,0.0
1969527,14/9/2010,10:51:00,2.588,0.306,235.98,11.0,37.0
996821,7/11/2008,23:05:00,2.65,0.146,237.84,11.0,38.0
1598354,30/12/2009,16:38:00,2.892,0.482,242.86,12.0,20.0
971906,21/10/2008,15:50:00,0.812,0.2,241.37,3.4,1.0
954858,9/10/2008,19:42:00,1.16,0.084,237.68,4.8,1.0
1949375,31/8/2010,10:59:00,1.61,0.364,239.08,6.8,12.0
1770484,29/4/2010,05:28:00,0.66,0.06,240.25,2.6,2.0
329559,2/8/2007,14:03:00,1.17,0.096,230.67,5.0,16.0
1599417,31/12/2009,10:21:00,1.94,0.088,244.22,7.8,19.0
992008,4/11/2008,14:52:00,0.358,0.094,244.25,1.6,0.0
1921186,11/8/2010,21:10:00,0.302,0.208,240.4,1.4,1.0
92971,19/2/2007,06:55:00,2.892,0.046,239.31,12.2,17.0
927095,20/9/2008,12:59:00,2.016,0.16,238.78,8.4,18.0
4811,20/12/2006,01:35:00,0.24,0.0,243.39,1.0,0.0
1961366,8/9/2010,18:50:00,1.344,0.074,243.34,5.4,19.0
58082,26/1/2007,01:26:00,0.214,0.0,242.42,0.8,0.0
1548716,26/11/2009,05:20:00,0.302,0.092,244.16,1.2,0.0
1210094,5/4/2009,01:38:00,0.37,0.084,243.54,1.6,0.0
124462,13/3/2007,03:46:00,0.344,0.104,242.14,1.4,1.0
1999481,5/10/2010,06:05:00,0.488,0.29,241.03,2.2,2.0
2005821,9/10/2010,15:45:00,2.016,0.302,236.46,8.6,19.0
813590,3/7/2008,17:14:00,0.244,0.12,239.11,1.2,1.0
304822,16/7/2007,09:46:00,0.22,0.092,232.92,1.0,1.0
1803900,22/5/2010,10:24:00,3.742,0.18,236.68,15.8,57.0
853328,31/7/2008,07:32:00,1.47,0.096,238.52,6.2,18.0
863487,7/8/2008,08:51:00,0.172,0.146,238.47,0.8,1.0
1184914,18/3/2009,13:58:00,1.334,0.0,246.01,5.4,19.0
170566,14/4/2007,04:10:00,0.218,0.0,241.57,1.0,0.0
1198080,27/3/2009,17:24:00,1.688,0.052,242.57,7.0,18.0
